order_id,customer_id,product_id,quantity,unit_price,discount_pct,total_amount,status,order_date,updated_at
29,353,39,4,247.09,0,988.36,processing,2026-05-25T16:57:01.208332,2026-05-25T16:57:01.208332
30,253,57,1,183.8,10,165.42,shipped,2026-03-02T20:31:01.208332,2026-03-02T20:31:01.208332
31,377,42,5,118.02,0,590.1,completed,2026-02-28T07:22:01.208332,2026-02-28T07:22:01.208332
32,118,87,5,203.97,10,917.87,completed,2026-08-15T16:24:01.208332,2026-08-15T16:24:01.208332
33,392,87,3,203.97,10,550.72,completed,2026-03-02T22:08:01.208332,2026-03-02T22:08:01.208332
34,241,67,4,63.81,0,255.24,processing,2026-03-28T15:18:01.208332,2026-03-28T15:18:01.208332
35,224,82,4,131.43,0,525.72,completed,2026-05-20T03:52:01.208332,2026-05-20T03:52:01.208332
36,210,43,3,193.8,15,494.19,completed,2026-03-14T15:22:01.208332,2026-03-14T15:22:01.208332
37,169,53,4,81.67,0,326.68,shipped,2026-06-24T05:14:01.208332,2026-06-24T05:14:01.208332
38,417,98,5,165.02,0,825.1,completed,2026-05-17T09:31:01.208332,2026-05-17T09:31:01.208332
39,162,33,3,128.65,0,385.95,shipped,2026-08-19T05:10:01.208332,2026-08-19T05:10:01.208332
40,443,66,1,189.77,15,161.3,processing,2026-07-31T20:41:01.208332,2026-07-31T20:41:01.208332
41,237,53,1,81.67,0,81.67,completed,2026-05-28T23:27:01.208332,2026-05-28T23:27:01.208332
42,319,97,4,143.24,15,487.02,completed,2026-05-15T01:40:01.208332,2026-05-15T01:40:01.208332
43,105,35,5,196.82,0,984.1,completed,2026-08-11T11:25:01.208332,2026-08-11T11:25:01.208332
44,225,90,4,221.59,0,886.36,cancelled,2026-02-28T20:29:01.208332,2026-02-28T20:29:01.208332
45,312,31,2,156.71,0,313.42,completed,2026-06-03T21:01:01.208332,2026-06-03T21:01:01.208332
46,283,53,1,81.67,0,81.67,completed,2026-07-26T18:31:01.208332,2026-07-26T18:31:01.208332
47,237,16,2,113.51,5,215.67,cancelled,2026-08-12T09:11:01.208332,2026-08-12T09:11:01.208332
48,150,66,3,189.77,5,540.84,shipped,2026-07-25T13:19:01.208332,2026-07-25T13:19:01.208332
49,242,32,4,109.47,10,394.09,shipped,2026-03-21T22:19:01.208332,2026-03-21T22:19:01.208332
50,98,77,5,235.95,15,1002.79,completed,2026-08-02T16:12:01.208332,2026-08-02T16:12:01.208332
51,443,9,3,149.34,20,358.42,shipped,2026-07-17T09:57:01.208332,2026-07-17T09:57:01.208332
52,175,65,3,210.38,20,504.91,completed,2026-02-24T01:34:01.208332,2026-02-24T01:34:01.208332
53,372,39,5,247.09,10,1111.9,shipped,2026-06-23T17:41:01.208332,2026-06-23T17:41:01.208332
54,444,20,4,40.55,10,145.98,completed,2026-05-22T18:29:01.208332,2026-05-22T18:29:01.208332
55,171,71,5,237.46,5,1127.93,completed,2026-05-17T11:47:01.208332,2026-05-17T11:47:01.208332
56,446,25,2,116.03,10,208.85,completed,2026-05-04T07:35:01.208332,2026-05-04T07:35:01.208332
57,439,100,4,63.18,0,252.72,cancelled,2026-04-22T12:30:01.208332,2026-04-22T12:30:01.208332
58,243,91,4,146.76,5,557.69,cancelled,2026-08-22T12:48:01.208332,2026-08-22T12:48:01.208332
59,406,84,2,114.05,5,216.69,completed,2026-08-18T05:44:01.208332,2026-08-18T05:44:01.208332
60,65,65,5,210.38,0,1051.9,completed,2026-07-31T22:08:01.208332,2026-07-31T22:08:01.208332
61,448,57,1,183.8,10,165.42,shipped,2026-08-08T08:08:01.208332,2026-08-08T08:08:01.208332
62,8,93,2,127.01,5,241.32,cancelled,2026-08-01T03:31:01.208332,2026-08-01T03:31:01.208332
63,497,20,1,40.55,5,38.52,completed,2026-07-15T20:54:01.208332,2026-07-15T20:54:01.208332
64,174,80,4,203.33,15,691.32,completed,2026-03-10T05:16:01.208332,2026-03-10T05:16:01.208332
65,437,87,5,203.97,5,968.86,completed,2026-08-16T07:03:01.208332,2026-08-16T07:03:01.208332
66,321,92,4,16.89,20,54.05,completed,2026-06-02T02:06:01.208332,2026-06-02T02:06:01.208332
67,317,9,2,149.34,15,253.88,completed,2026-06-28T04:33:01.208332,2026-06-28T04:33:01.208332
68,117,96,1,67.93,5,64.53,completed,2026-08-20T16:47:01.208332,2026-08-20T16:47:01.208332
69,390,82,1,131.43,5,124.86,cancelled,2026-03-25T21:13:01.208332,2026-03-25T21:13:01.208332
70,154,4,1,15.68,0,15.68,completed,2026-07-18T12:46:01.208332,2026-07-18T12:46:01.208332
71,151,46,3,224.33,5,639.34,completed,2026-03-22T02:22:01.208332,2026-03-22T02:22:01.208332
72,272,53,5,81.67,15,347.1,completed,2026-07-17T20:56:01.208332,2026-07-17T20:56:01.208332
73,88,23,1,210.09,10,189.08,shipped,2026-08-01T03:07:01.208332,2026-08-01T03:07:01.208332
74,318,88,2,114.54,5,217.63,processing,2026-08-08T18:34:01.208332,2026-08-08T18:34:01.208332
75,74,30,4,15.86,15,53.92,shipped,2026-04-10T20:00:01.208332,2026-04-10T20:00:01.208332
76,131,86,1,186.11,20,148.89,completed,2026-05-19T07:05:01.208332,2026-05-19T07:05:01.208332
77,347,70,2,40.29,0,80.58,completed,2026-05-15T00:18:01.208332,2026-05-15T00:18:01.208332
78,301,39,4,247.09,15,840.11,shipped,2026-04-10T03:03:01.208332,2026-04-10T03:03:01.208332
79,433,39,2,247.09,5,469.47,shipped,2026-07-28T22:38:01.208332,2026-07-28T22:38:01.208332
80,55,31,4,156.71,10,564.16,processing,2026-04-29T22:40:01.208332,2026-04-29T22:40:01.208332
81,152,90,3,221.59,0,664.77,cancelled,2026-08-20T15:04:01.208332,2026-08-20T15:04:01.208332
82,203,36,1,202.99,10,182.69,cancelled,2026-07-31T01:54:01.208332,2026-07-31T01:54:01.208332
83,399,96,1,67.93,10,61.14,shipped,2026-07-09T06:04:01.208332,2026-07-09T06:04:01.208332
84,427,37,2,143.78,10,258.8,completed,2026-07-19T14:03:01.208332,2026-07-19T14:03:01.208332
85,113,82,2,131.43,10,236.57,cancelled,2026-04-10T05:22:01.208332,2026-04-10T05:22:01.208332
86,387,93,2,127.01,15,215.92,cancelled,2026-03-13T06:52:01.208332,2026-03-13T06:52:01.208332
87,331,6,3,94.28,20,226.27,completed,2026-05-14T20:21:01.208332,2026-05-14T20:21:01.208332
88,297,47,2,46.2,0,92.4,completed,2026-08-08T04:35:01.208332,2026-08-08T04:35:01.208332
89,168,96,4,67.93,0,271.72,completed,2026-04-01T03:39:01.208332,2026-04-01T03:39:01.208332
90,403,70,3,40.29,10,108.78,completed,2026-05-25T22:44:01.208332,2026-05-25T22:44:01.208332
91,426,22,3,146.59,20,351.82,shipped,2026-08-14T11:35:01.208332,2026-08-14T11:35:01.208332
92,496,38,3,42.0,20,100.8,shipped,2026-03-16T13:33:01.208332,2026-03-16T13:33:01.208332
93,494,10,2,36.02,20,57.63,completed,2026-08-18T13:04:01.208332,2026-08-18T13:04:01.208332
94,441,87,4,203.97,20,652.7,processing,2026-07-20T01:39:01.208332,2026-07-20T01:39:01.208332
95,188,12,4,155.49,0,621.96,processing,2026-04-12T17:48:01.208332,2026-04-12T17:48:01.208332
96,64,59,3,152.05,15,387.73,cancelled,2026-07-09T22:50:01.208332,2026-07-09T22:50:01.208332
97,135,75,4,16.16,20,51.71,completed,2026-06-19T20:13:01.208332,2026-06-19T20:13:01.208332
98,56,87,2,203.97,5,387.54,processing,2026-02-28T03:42:01.208332,2026-02-28T03:42:01.208332
99,453,72,3,194.06,10,523.96,cancelled,2026-04-04T21:32:01.208332,2026-04-04T21:32:01.208332
100,33,82,4,131.43,15,446.86,cancelled,2026-04-19T14:39:01.208332,2026-04-19T14:39:01.208332
101,210,15,2,134.78,0,269.56,completed,2026-08-14T20:38:01.208332,2026-08-14T20:38:01.208332
102,156,64,1,190.48,0,190.48,processing,2026-04-07T08:13:01.208332,2026-04-07T08:13:01.208332
103,70,50,4,24.94,0,99.76,cancelled,2026-06-25T15:45:01.208332,2026-06-25T15:45:01.208332
104,357,70,4,40.29,10,145.04,cancelled,2026-07-08T17:23:01.208332,2026-07-08T17:23:01.208332
105,80,54,1,139.17,20,111.34,processing,2026-05-23T16:21:01.208332,2026-05-23T16:21:01.208332
106,209,36,1,202.99,15,172.54,completed,2026-05-02T01:14:01.208332,2026-05-02T01:14:01.208332
107,228,57,2,183.8,20,294.08,completed,2026-04-30T14:57:01.208332,2026-04-30T14:57:01.208332
108,352,48,5,179.54,15,763.04,completed,2026-04-29T21:26:01.208332,2026-04-29T21:26:01.208332
109,204,36,2,202.99,0,405.98,shipped,2026-08-15T08:39:01.208332,2026-08-15T08:39:01.208332
110,47,85,2,179.75,15,305.57,processing,2026-06-20T00:21:01.208332,2026-06-20T00:21:01.208332
111,498,3,1,83.25,20,66.6,completed,2026-04-25T07:29:01.208332,2026-04-25T07:29:01.208332
112,65,73,2,155.74,0,311.48,processing,2026-07-24T15:53:01.208332,2026-07-24T15:53:01.208332
113,107,76,2,172.56,20,276.1,completed,2026-07-31T22:07:01.208332,2026-07-31T22:07:01.208332
114,169,100,2,63.18,20,101.09,processing,2026-08-06T12:50:01.208332,2026-08-06T12:50:01.208332
115,2,36,2,202.99,0,405.98,completed,2026-06-01T22:36:01.208332,2026-06-01T22:36:01.208332
116,409,23,1,210.09,15,178.58,completed,2026-07-31T07:56:01.208332,2026-07-31T07:56:01.208332
117,68,2,3,63.38,20,152.11,completed,2026-07-17T03:04:01.208332,2026-07-17T03:04:01.208332
118,302,42,1,118.02,0,118.02,completed,2026-04-12T21:46:01.208332,2026-04-12T21:46:01.208332
119,65,95,4,12.44,10,44.78,cancelled,2026-03-16T06:54:01.208332,2026-03-16T06:54:01.208332
120,33,61,4,53.61,20,171.55,processing,2026-04-30T12:08:01.208332,2026-04-30T12:08:01.208332
121,304,14,4,20.65,10,74.34,processing,2026-04-04T22:19:01.208332,2026-04-04T22:19:01.208332
122,23,94,5,91.68,0,458.4,cancelled,2026-05-17T23:35:01.208332,2026-05-17T23:35:01.208332
123,494,4,1,15.68,5,14.9,shipped,2026-07-27T20:16:01.208332,2026-07-27T20:16:01.208332
124,219,88,1,114.54,5,108.81,shipped,2026-07-03T06:53:01.208332,2026-07-03T06:53:01.208332
125,38,11,3,184.85,10,499.09,completed,2026-03-22T14:26:01.208332,2026-03-22T14:26:01.208332
126,65,36,5,202.99,15,862.71,processing,2026-06-10T03:51:01.208332,2026-06-10T03:51:01.208332
127,365,42,4,118.02,10,424.87,completed,2026-05-31T04:24:01.208332,2026-05-31T04:24:01.208332
128,233,65,5,210.38,5,999.31,cancelled,2026-03-13T15:41:01.208332,2026-03-13T15:41:01.208332
129,59,84,5,114.05,15,484.71,completed,2026-07-31T03:45:01.208332,2026-07-31T03:45:01.208332
130,221,58,2,245.37,5,466.2,shipped,2026-04-26T07:10:01.208332,2026-04-26T07:10:01.208332
131,205,54,1,139.17,0,139.17,completed,2026-05-12T06:55:01.208332,2026-05-12T06:55:01.208332
132,341,33,3,128.65,0,385.95,shipped,2026-06-28T15:08:01.208332,2026-06-28T15:08:01.208332
133,35,12,1,155.49,0,155.49,completed,2026-05-13T05:15:01.208332,2026-05-13T05:15:01.208332
134,382,95,3,12.44,20,29.86,processing,2026-03-19T06:50:01.208332,2026-03-19T06:50:01.208332
135,31,76,5,172.56,10,776.52,cancelled,2026-04-24T14:36:01.208332,2026-04-24T14:36:01.208332
136,63,53,3,81.67,20,196.01,shipped,2026-06-24T17:17:01.208332,2026-06-24T17:17:01.208332
137,445,93,1,127.01,0,127.01,completed,2026-06-12T21:35:01.208332,2026-06-12T21:35:01.208332
138,181,14,5,20.65,10,92.92,completed,2026-04-03T07:50:01.208332,2026-04-03T07:50:01.208332
139,337,62,2,88.56,20,141.7,completed,2026-03-15T07:10:01.208332,2026-03-15T07:10:01.208332
140,433,72,3,194.06,0,582.18,completed,2026-07-12T10:14:01.208332,2026-07-12T10:14:01.208332
141,294,29,4,63.91,20,204.51,processing,2026-06-05T17:15:01.208332,2026-06-05T17:15:01.208332
142,315,87,5,203.97,0,1019.85,cancelled,2026-06-14T11:06:01.208332,2026-06-14T11:06:01.208332
143,425,89,3,214.41,0,643.23,completed,2026-03-28T10:36:01.208332,2026-03-28T10:36:01.208332
144,360,98,3,165.02,0,495.06,completed,2026-04-28T12:00:01.208332,2026-04-28T12:00:01.208332
145,93,19,5,106.58,15,452.96,completed,2026-05-07T13:25:01.208332,2026-05-07T13:25:01.208332
146,73,95,1,12.44,0,12.44,processing,2026-07-09T10:10:01.208332,2026-07-09T10:10:01.208332
147,111,49,4,107.82,5,409.72,completed,2026-04-26T15:45:01.208332,2026-04-26T15:45:01.208332
148,190,40,3,157.04,20,376.9,processing,2026-08-13T23:26:01.208332,2026-08-13T23:26:01.208332
149,306,11,1,184.85,0,184.85,processing,2026-03-24T06:06:01.208332,2026-03-24T06:06:01.208332
150,26,87,1,203.97,0,203.97,cancelled,2026-05-15T06:21:01.208332,2026-05-15T06:21:01.208332
151,218,63,5,91.0,5,432.25,completed,2026-05-09T23:57:01.208332,2026-05-09T23:57:01.208332
152,111,97,5,143.24,0,716.2,shipped,2026-04-27T10:26:01.208332,2026-04-27T10:26:01.208332
153,57,37,5,143.78,5,682.95,cancelled,2026-05-30T12:34:01.208332,2026-05-30T12:34:01.208332
154,158,6,2,94.28,5,179.13,processing,2026-08-21T19:28:01.208332,2026-08-21T19:28:01.208332
155,29,1,2,101.81,0,203.62,completed,2026-08-14T16:33:01.208332,2026-08-14T16:33:01.208332
156,393,18,3,131.71,0,395.13,completed,2026-04-24T07:57:01.208332,2026-04-24T07:57:01.208332
157,4,64,4,190.48,0,761.92,shipped,2026-03-19T02:47:01.208332,2026-03-19T02:47:01.208332
158,273,91,2,146.76,10,264.17,cancelled,2026-06-05T07:28:01.208332,2026-06-05T07:28:01.208332
159,413,46,1,224.33,5,213.11,cancelled,2026-07-30T11:28:01.208332,2026-07-30T11:28:01.208332
160,22,56,1,16.97,5,16.12,completed,2026-08-10T06:59:01.208332,2026-08-10T06:59:01.208332
161,442,41,5,117.02,5,555.85,shipped,2026-06-07T23:35:01.208332,2026-06-07T23:35:01.208332
162,364,82,4,131.43,0,525.72,shipped,2026-03-16T13:34:01.208332,2026-03-16T13:34:01.208332
163,11,42,2,118.02,20,188.83,processing,2026-08-15T02:33:01.208332,2026-08-15T02:33:01.208332
164,236,89,3,214.41,0,643.23,completed,2026-05-14T02:23:01.208332,2026-05-14T02:23:01.208332
165,125,56,5,16.97,5,80.61,completed,2026-05-29T23:35:01.208332,2026-05-29T23:35:01.208332
166,203,40,3,157.04,0,471.12,completed,2026-04-25T05:33:01.208332,2026-04-25T05:33:01.208332
167,40,66,1,189.77,10,170.79,completed,2026-05-27T10:22:01.208332,2026-05-27T10:22:01.208332
168,464,100,3,63.18,0,189.54,cancelled,2026-07-06T00:20:01.208332,2026-07-06T00:20:01.208332
169,418,19,2,106.58,0,213.16,completed,2026-03-22T06:11:01.208332,2026-03-22T06:11:01.208332
170,102,23,5,210.09,0,1050.45,cancelled,2026-07-11T23:47:01.208332,2026-07-11T23:47:01.208332
171,39,23,4,210.09,5,798.34,processing,2026-07-10T22:35:01.208332,2026-07-10T22:35:01.208332
172,390,75,4,16.16,15,54.94,processing,2026-08-10T20:03:01.208332,2026-08-10T20:03:01.208332
173,330,82,5,131.43,0,657.15,cancelled,2026-07-30T22:19:01.208332,2026-07-30T22:19:01.208332
174,162,20,4,40.55,0,162.2,shipped,2026-05-19T23:06:01.208332,2026-05-19T23:06:01.208332
175,324,39,3,247.09,10,667.14,completed,2026-03-05T19:47:01.208332,2026-03-05T19:47:01.208332
176,260,10,3,36.02,5,102.66,completed,2026-05-16T20:48:01.208332,2026-05-16T20:48:01.208332
177,30,48,3,179.54,0,538.62,completed,2026-06-20T22:57:01.208332,2026-06-20T22:57:01.208332
178,315,77,5,235.95,5,1120.76,processing,2026-05-18T19:59:01.208332,2026-05-18T19:59:01.208332
179,284,95,1,12.44,5,11.82,processing,2026-08-08T02:03:01.208332,2026-08-08T02:03:01.208332
180,334,25,3,116.03,10,313.28,processing,2026-05-21T04:25:01.208332,2026-05-21T04:25:01.208332
181,78,8,4,220.49,0,881.96,completed,2026-07-21T05:32:01.208332,2026-07-21T05:32:01.208332
182,366,11,5,184.85,15,785.61,completed,2026-03-27T00:17:01.208332,2026-03-27T00:17:01.208332
183,127,91,4,146.76,5,557.69,processing,2026-05-30T00:03:01.208332,2026-05-30T00:03:01.208332
184,313,21,3,172.56,0,517.68,completed,2026-08-09T16:53:01.208332,2026-08-09T16:53:01.208332
185,199,53,3,81.67,15,208.26,completed,2026-06-12T10:34:01.208332,2026-06-12T10:34:01.208332
186,405,81,3,137.86,0,413.58,completed,2026-04-24T14:48:01.208332,2026-04-24T14:48:01.208332
187,286,87,4,203.97,0,815.88,cancelled,2026-04-10T11:21:01.208332,2026-04-10T11:21:01.208332
188,437,85,5,179.75,20,719.0,completed,2026-03-22T23:21:01.208332,2026-03-22T23:21:01.208332
189,42,75,2,16.16,0,32.32,cancelled,2026-04-21T01:47:01.208332,2026-04-21T01:47:01.208332
190,358,85,4,179.75,0,719.0,cancelled,2026-06-11T22:08:01.208332,2026-06-11T22:08:01.208332
191,481,11,3,184.85,10,499.09,cancelled,2026-05-03T04:06:01.208332,2026-05-03T04:06:01.208332
192,406,43,2,193.8,15,329.46,cancelled,2026-07-01T13:04:01.208332,2026-07-01T13:04:01.208332
193,351,68,1,191.02,15,162.37,shipped,2026-06-25T15:38:01.208332,2026-06-25T15:38:01.208332
194,261,47,1,46.2,0,46.2,completed,2026-04-20T19:49:01.208332,2026-04-20T19:49:01.208332
195,487,28,3,206.42,20,495.41,completed,2026-05-23T02:55:01.208332,2026-05-23T02:55:01.208332
196,116,18,2,131.71,0,263.42,completed,2026-04-18T10:42:01.208332,2026-04-18T10:42:01.208332
197,260,99,5,200.3,20,801.2,processing,2026-07-08T01:33:01.208332,2026-07-08T01:33:01.208332
198,20,85,3,179.75,20,431.4,completed,2026-06-16T02:35:01.208332,2026-06-16T02:35:01.208332
199,306,49,2,107.82,0,215.64,cancelled,2026-03-28T12:29:01.208332,2026-03-28T12:29:01.208332
200,395,80,2,203.33,15,345.66,completed,2026-05-14T06:35:01.208332,2026-05-14T06:35:01.208332
201,211,47,2,46.2,5,87.78,completed,2026-06-14T18:05:01.208332,2026-06-14T18:05:01.208332
202,386,96,4,67.93,0,271.72,completed,2026-05-31T19:29:01.208332,2026-05-31T19:29:01.208332
203,159,61,2,53.61,0,107.22,processing,2026-06-27T01:56:01.208332,2026-06-27T01:56:01.208332
204,226,60,3,164.26,20,394.22,processing,2026-05-04T02:47:01.208332,2026-05-04T02:47:01.208332
205,271,54,2,139.17,20,222.67,processing,2026-03-31T22:51:01.208332,2026-03-31T22:51:01.208332
206,71,33,1,128.65,15,109.35,completed,2026-05-22T02:05:01.208332,2026-05-22T02:05:01.208332
207,284,14,5,20.65,20,82.6,completed,2026-03-18T07:05:01.208332,2026-03-18T07:05:01.208332
208,43,98,2,165.02,0,330.04,processing,2026-05-16T09:28:01.208332,2026-05-16T09:28:01.208332
209,76,56,1,16.97,0,16.97,shipped,2026-07-22T06:35:01.208332,2026-07-22T06:35:01.208332
210,453,45,1,66.28,5,62.97,shipped,2026-03-05T07:02:01.208332,2026-03-05T07:02:01.208332
211,258,48,2,179.54,5,341.13,completed,2026-03-10T10:54:01.208332,2026-03-10T10:54:01.208332
212,115,4,3,15.68,0,47.04,cancelled,2026-07-26T08:47:01.208332,2026-07-26T08:47:01.208332
213,333,43,2,193.8,0,387.6,completed,2026-03-02T13:42:01.208332,2026-03-02T13:42:01.208332
214,470,61,2,53.61,20,85.78,shipped,2026-07-02T00:54:01.208332,2026-07-02T00:54:01.208332
215,230,79,1,177.33,0,177.33,completed,2026-02-27T01:23:01.208332,2026-02-27T01:23:01.208332
216,111,20,5,40.55,15,172.34,processing,2026-06-14T10:36:01.208332,2026-06-14T10:36:01.208332
217,217,15,3,134.78,0,404.34,completed,2026-04-19T10:06:01.208332,2026-04-19T10:06:01.208332
218,25,31,4,156.71,15,532.81,processing,2026-07-18T02:57:01.208332,2026-07-18T02:57:01.208332
219,235,9,1,149.34,20,119.47,shipped,2026-08-07T09:00:01.208332,2026-08-07T09:00:01.208332
220,306,69,1,211.41,15,179.7,processing,2026-05-28T10:04:01.208332,2026-05-28T10:04:01.208332
221,124,92,2,16.89,0,33.78,completed,2026-05-12T17:44:01.208332,2026-05-12T17:44:01.208332
222,315,46,2,224.33,10,403.79,completed,2026-05-10T10:22:01.208332,2026-05-10T10:22:01.208332
223,341,86,1,186.11,10,167.5,completed,2026-08-20T00:41:01.208332,2026-08-20T00:41:01.208332
224,35,68,5,191.02,10,859.59,processing,2026-07-16T18:15:01.208332,2026-07-16T18:15:01.208332
225,284,3,4,83.25,20,266.4,completed,2026-05-20T04:25:01.208332,2026-05-20T04:25:01.208332
226,326,50,3,24.94,0,74.82,completed,2026-07-09T15:26:01.208332,2026-07-09T15:26:01.208332
227,183,9,3,149.34,0,448.02,cancelled,2026-07-07T00:38:01.208332,2026-07-07T00:38:01.208332
228,322,14,5,20.65,15,87.76,completed,2026-07-11T08:20:01.208332,2026-07-11T08:20:01.208332
229,69,6,3,94.28,10,254.56,cancelled,2026-04-26T05:30:01.208332,2026-04-26T05:30:01.208332
230,90,100,4,63.18,15,214.81,cancelled,2026-05-21T17:06:01.208332,2026-05-21T17:06:01.208332
231,94,18,1,131.71,15,111.95,shipped,2026-07-14T21:35:01.208332,2026-07-14T21:35:01.208332
232,19,38,2,42.0,0,84.0,completed,2026-07-17T14:46:01.208332,2026-07-17T14:46:01.208332
233,454,6,3,94.28,0,282.84,shipped,2026-05-28T10:06:01.208332,2026-05-28T10:06:01.208332
234,418,70,4,40.29,0,161.16,cancelled,2026-03-02T06:21:01.208332,2026-03-02T06:21:01.208332
235,98,37,3,143.78,20,345.07,completed,2026-07-15T17:54:01.208332,2026-07-15T17:54:01.208332
236,444,84,3,114.05,0,342.15,completed,2026-03-18T06:12:01.208332,2026-03-18T06:12:01.208332
237,224,52,4,101.29,5,384.9,completed,2026-04-26T07:38:01.208332,2026-04-26T07:38:01.208332
238,255,89,4,214.41,0,857.64,processing,2026-08-10T20:44:01.208332,2026-08-10T20:44:01.208332
239,137,11,4,184.85,0,739.4,processing,2026-05-12T23:43:01.208332,2026-05-12T23:43:01.208332
240,422,24,5,60.44,0,302.2,completed,2026-04-23T01:45:01.208332,2026-04-23T01:45:01.208332
241,41,42,3,118.02,0,354.06,processing,2026-05-15T18:36:01.208332,2026-05-15T18:36:01.208332
242,368,55,2,62.66,15,106.52,completed,2026-05-15T09:49:01.208332,2026-05-15T09:49:01.208332
243,229,6,3,94.28,10,254.56,completed,2026-05-13T18:39:01.208332,2026-05-13T18:39:01.208332
244,328,8,1,220.49,15,187.42,shipped,2026-06-19T15:42:01.208332,2026-06-19T15:42:01.208332
245,187,66,2,189.77,0,379.54,processing,2026-03-21T14:10:01.208332,2026-03-21T14:10:01.208332
246,348,57,1,183.8,0,183.8,completed,2026-03-07T20:06:01.208332,2026-03-07T20:06:01.208332
247,399,83,3,213.9,0,641.7,processing,2026-05-04T07:04:01.208332,2026-05-04T07:04:01.208332
248,17,78,2,152.1,15,258.57,completed,2026-05-16T12:06:01.208332,2026-05-16T12:06:01.208332
249,191,57,1,183.8,10,165.42,processing,2026-03-20T15:57:01.208332,2026-03-20T15:57:01.208332
250,188,51,3,227.16,15,579.26,completed,2026-04-15T07:58:01.208332,2026-04-15T07:58:01.208332
251,492,15,1,134.78,15,114.56,shipped,2026-03-29T11:13:01.208332,2026-03-29T11:13:01.208332
252,266,50,5,24.94,0,124.7,completed,2026-04-12T06:05:01.208332,2026-04-12T06:05:01.208332
253,361,58,2,245.37,10,441.67,cancelled,2026-04-16T14:04:01.208332,2026-04-16T14:04:01.208332
254,470,63,2,91.0,0,182.0,completed,2026-03-20T07:22:01.208332,2026-03-20T07:22:01.208332
255,232,23,4,210.09,0,840.36,cancelled,2026-07-21T03:33:01.208332,2026-07-21T03:33:01.208332
256,496,41,3,117.02,15,298.4,processing,2026-03-07T10:05:01.208332,2026-03-07T10:05:01.208332
257,278,38,3,42.0,20,100.8,cancelled,2026-03-24T06:31:01.208332,2026-03-24T06:31:01.208332
258,364,90,2,221.59,20,354.54,processing,2026-04-30T09:45:01.208332,2026-04-30T09:45:01.208332
259,115,16,2,113.51,20,181.62,completed,2026-03-20T21:07:01.208332,2026-03-20T21:07:01.208332
