product_id,warehouse,quantity_on_hand,reorder_level,last_updated
61,Chicago,202,42,2026-08-22T14:22:01.627526
62,Los Angeles,172,36,2026-08-22T14:22:01.627527
62,Dallas,32,23,2026-08-22T14:22:01.627529
62,Chicago,118,34,2026-08-22T14:22:01.627530
63,Los Angeles,15,10,2026-08-22T14:22:01.627532
63,Dallas,128,43,2026-08-22T14:22:01.627533
63,Chicago,68,29,2026-08-22T14:22:01.627535
64,Los Angeles,116,26,2026-08-22T14:22:01.627537
64,Dallas,6,42,2026-08-22T14:22:01.627538
64,Chicago,191,24,2026-08-22T14:22:01.627540
65,Los Angeles,112,45,2026-08-22T14:22:01.627541
65,Dallas,249,15,2026-08-22T14:22:01.627543
65,Chicago,250,46,2026-08-22T14:22:01.627544
66,Los Angeles,28,46,2026-08-22T14:22:01.627546
66,Dallas,8,41,2026-08-22T14:22:01.627547
66,Chicago,74,49,2026-08-22T14:22:01.627549
67,Los Angeles,216,46,2026-08-22T14:22:01.627550
67,Dallas,33,15,2026-08-22T14:22:01.627552
67,Chicago,111,29,2026-08-22T14:22:01.627553
68,Los Angeles,11,13,2026-08-22T14:22:01.627555
68,Dallas,103,46,2026-08-22T14:22:01.627557
68,Chicago,188,43,2026-08-22T14:22:01.627558
69,Los Angeles,238,22,2026-08-22T14:22:01.627560
69,Dallas,100,48,2026-08-22T14:22:01.627562
69,Chicago,246,50,2026-08-22T14:22:01.627563
70,Los Angeles,32,22,2026-08-22T14:22:01.627565
70,Dallas,201,30,2026-08-22T14:22:01.627566
70,Chicago,250,24,2026-08-22T14:22:01.627568
71,Los Angeles,71,44,2026-08-22T14:22:01.627570
71,Dallas,68,42,2026-08-22T14:22:01.627571
71,Chicago,111,27,2026-08-22T14:22:01.627573
72,Los Angeles,114,12,2026-08-22T14:22:01.627575
72,Dallas,129,20,2026-08-22T14:22:01.627576
72,Chicago,30,24,2026-08-22T14:22:01.627578
73,Los Angeles,146,43,2026-08-22T14:22:01.627579
73,Dallas,105,30,2026-08-22T14:22:01.627581
73,Chicago,70,37,2026-08-22T14:22:01.627582
74,Los Angeles,47,19,2026-08-22T14:22:01.627584
74,Dallas,182,10,2026-08-22T14:22:01.627585
74,Chicago,43,14,2026-08-22T14:22:01.627587
75,Los Angeles,42,22,2026-08-22T14:22:01.627589
75,Dallas,190,41,2026-08-22T14:22:01.627590
75,Chicago,175,19,2026-08-22T14:22:01.627592
76,Los Angeles,221,10,2026-08-22T14:22:01.627593
76,Dallas,91,31,2026-08-22T14:22:01.627595
76,Chicago,0,23,2026-08-22T14:22:01.627597
77,Los Angeles,194,23,2026-08-22T14:22:01.627598
77,Dallas,0,13,2026-08-22T14:22:01.627600
77,Chicago,5,11,2026-08-22T14:22:01.627601
78,Los Angeles,140,43,2026-08-22T14:22:01.627603
78,Dallas,96,25,2026-08-22T14:22:01.627604
78,Chicago,203,28,2026-08-22T14:22:01.627606
79,Los Angeles,190,35,2026-08-22T14:22:01.627608
79,Dallas,116,25,2026-08-22T14:22:01.627610
79,Chicago,151,17,2026-08-22T14:22:01.627612
80,Los Angeles,156,10,2026-08-22T14:22:01.627614
80,Dallas,0,43,2026-08-22T14:22:01.627615
80,Chicago,133,46,2026-08-22T14:22:01.627617
81,Los Angeles,196,46,2026-08-22T14:22:01.627619
81,Dallas,23,17,2026-08-22T14:22:01.627621
81,Chicago,64,17,2026-08-22T14:22:01.627623
82,Los Angeles,103,10,2026-08-22T14:22:01.627625
82,Dallas,5,47,2026-08-22T14:22:01.627626
82,Chicago,244,15,2026-08-22T14:22:01.627628
83,Los Angeles,98,46,2026-08-22T14:22:01.627630
83,Dallas,192,50,2026-08-22T14:22:01.627631
83,Chicago,38,25,2026-08-22T14:22:01.627633
84,Los Angeles,35,41,2026-08-22T14:22:01.627634
84,Dallas,51,39,2026-08-22T14:22:01.627636
84,Chicago,189,47,2026-08-22T14:22:01.627638
85,Los Angeles,172,44,2026-08-22T14:22:01.627639
85,Dallas,241,46,2026-08-22T14:22:01.627641
85,Chicago,186,39,2026-08-22T14:22:01.627643
86,Los Angeles,189,49,2026-08-22T14:22:01.627644
86,Dallas,11,34,2026-08-22T14:22:01.627646
86,Chicago,2,44,2026-08-22T14:22:01.627647
87,Los Angeles,203,31,2026-08-22T14:22:01.627649
87,Dallas,76,44,2026-08-22T14:22:01.627650
87,Chicago,215,15,2026-08-22T14:22:01.627652
88,Los Angeles,241,45,2026-08-22T14:22:01.627654
88,Dallas,108,40,2026-08-22T14:22:01.627655
88,Chicago,66,34,2026-08-22T14:22:01.627657
89,Los Angeles,62,12,2026-08-22T14:22:01.627659
89,Dallas,12,11,2026-08-22T14:22:01.627660
89,Chicago,235,48,2026-08-22T14:22:01.627662
90,Los Angeles,208,47,2026-08-22T14:22:01.627664
90,Dallas,131,27,2026-08-22T14:22:01.627665
90,Chicago,175,24,2026-08-22T14:22:01.627667
91,Los Angeles,63,37,2026-08-22T14:22:01.627668
91,Dallas,30,16,2026-08-22T14:22:01.627670
91,Chicago,185,25,2026-08-22T14:22:01.627671
92,Los Angeles,243,38,2026-08-22T14:22:01.627673
92,Dallas,21,16,2026-08-22T14:22:01.627675
92,Chicago,133,15,2026-08-22T14:22:01.627676
93,Los Angeles,81,15,2026-08-22T14:22:01.627678
93,Dallas,169,48,2026-08-22T14:22:01.627679
93,Chicago,142,33,2026-08-22T14:22:01.627681
94,Los Angeles,177,26,2026-08-22T14:22:01.627682
94,Dallas,84,42,2026-08-22T14:22:01.627684
94,Chicago,36,46,2026-08-22T14:22:01.627686
95,Los Angeles,246,29,2026-08-22T14:22:01.627687
95,Dallas,38,11,2026-08-22T14:22:01.627689
95,Chicago,48,50,2026-08-22T14:22:01.627690
96,Los Angeles,66,10,2026-08-22T14:22:01.627692
96,Dallas,17,33,2026-08-22T14:22:01.627693
96,Chicago,52,30,2026-08-22T14:22:01.627695
97,Los Angeles,195,25,2026-08-22T14:22:01.627697
97,Dallas,71,36,2026-08-22T14:22:01.627698
97,Chicago,105,11,2026-08-22T14:22:01.627700
98,Los Angeles,114,30,2026-08-22T14:22:01.627701
98,Dallas,96,46,2026-08-22T14:22:01.627703
98,Chicago,155,48,2026-08-22T14:22:01.627704
99,Los Angeles,64,28,2026-08-22T14:22:01.627706
99,Dallas,148,27,2026-08-22T14:22:01.627707
99,Chicago,220,35,2026-08-22T14:22:01.627709
100,Los Angeles,110,38,2026-08-22T14:22:01.627711
100,Dallas,37,13,2026-08-22T14:22:01.627712
100,Chicago,24,13,2026-08-22T14:22:01.627714
